20151102,10.35,10.5,10.35,28100
20151103,10.5,10.5,10.5,5100
20151104,10.35,10.5,10.45,41200
20151105,10.3,10.6,10.35,17800
20151106,10.3,10.6,10.35,42500
20151109,10.35,10.5,10.4,52200
20151110,10.35,10.6,10.45,1400
20151111,10.45,10.5,10.45,63900
20151112,10.5,10.6,10.5,1800
20151113,10.5,10.6,10.55,2200
20151116,10.4,10.6,10.4,4400
20151117,10.4,10.5,10.4,21700
20151118,10.45,10.45,10.45,500
20151119,10.6,11.0,10.6,32700
20151120,10.6,10.95,10.85,1300
20151123,10.6,10.95,10.85,1.02M
20151124,10.9,11.0,10.95,4600
20151125,10.75,10.9,10.75,3000
20151126,10.75,10.9,10.75,3000
20151127,10.4,10.75,10.45,18900
20151130,10.45,10.9,10.55,1500
