Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20141201;128.0;128.0;128.0;127.75;100
20141202;128.0;128.0;128.0;128.0;-
20141203;127.0;127.0;127.0;128.0;2100
20141204;127.0;127.0;127.0;127.0;104000
20141205;127.0;128.0;127.0;127.0;221000
20141208;126.0;127.0;126.75;127.0;58700
20141209;126.0;129.0;127.0;126.75;8400
20141210;125.0;125.0;125.0;127.0;500
20141211;126.0;126.0;126.0;125.0;3400
20141215;126.0;127.0;126.75;126.0;88100
20141216;124.0;126.0;124.0;126.75;352300
20141217;120.0;127.0;126.0;124.0;465600
20141218;120.0;125.0;124.75;126.0;151000
20141219;120.0;124.0;120.25;124.75;74400
20141222;120.0;120.0;120.0;120.25;42100
20141223;120.0;121.0;120.0;120.0;209500
20141224;121.0;128.0;122.0;120.0;462100
20141229;123.0;124.0;123.0;122.0;52100
20141230;123.0;124.0;123.0;123.0;88200
20141231;123.0;123.0;123.0;123.0;4700
