20091001,7.5,7.5,7.5,-
20091002,7.0,8.0,7.1,16700
20091005,7.6,7.7,7.65,2000
20091006,7.6,7.7,7.6,5400
20091007,7.7,8.0,7.8,300
20091008,7.7,7.8,7.7,2400
20091009,8.0,8.0,8.0,900
20091012,7.8,8.0,7.95,4300
20091013,8.0,8.0,8.0,3000
20091014,8.0,8.0,8.0,-
20091015,8.5,8.8,8.55,600
20091016,9.0,9.0,9.0,100
20091019,9.0,9.0,9.0,1300
20091021,9.3,9.3,9.3,400
20091022,9.7,9.7,9.7,1000
20091023,9.7,9.7,9.7,1000
20091026,9.0,10.0,9.2,1300
20091027,8.7,8.7,8.7,400
20091028,8.7,8.7,8.7,9700
20091029,7.85,8.7,7.9,11200
20091030,7.85,8.7,7.9,11200
